対象日付,コード,銘柄名,株価換算係数,業種,セクター
2026/8/4,9009,京成電鉄,1.5,鉄道・バス,運輸・公共
2026/8/4,9020,東日本旅客鉄道,0.3,鉄道・バス,運輸・公共
2026/8/4,9021,西日本旅客鉄道,0.2,鉄道・バス,運輸・公共
2026/8/4,9022,東海旅客鉄道,0.5,鉄道・バス,運輸・公共
2026/8/4,9064,ヤマトホールディングス,1,陸運,運輸・公共
2026/8/4,9101,日本郵船,0.3,海運,運輸・公共
2026/8/4,9104,商船三井,0.3,海運,運輸・公共
2026/8/4,9107,川崎汽船,0.9,海運,運輸・公共
2026/8/4,9147,ＮＩＰＰＯＮＥＸＰＲＥＳＳホールディングス,0.3,陸運,運輸・公共
2026/8/4,9201,日本航空,1,空運,運輸・公共
2026/8/4,9202,ＡＮＡホールディングス,0.1,空運,運輸・公共
2026/8/4,9432,ＮＴＴ,10,通信,技術
2026/8/4,9433,ＫＤＤＩ,12,通信,技術
2026/8/4,9434,ソフトバンク,10,通信,技術
2026/8/4,9501,東京電力ホールディングス,0.1,電力,運輸・公共
2026/8/4,9502,中部電力,0.1,電力,運輸・公共
2026/8/4,9503,関西電力,0.1,電力,運輸・公共
2026/8/4,9531,東京瓦斯,0.2,ガス,運輸・公共
2026/8/4,9532,大阪瓦斯,0.2,ガス,運輸・公共
2026/8/4,9602,東宝,0.5,サービス,消費
2026/8/4,9735,セコム,2,サービス,消費
2026/8/4,9766,コナミグループ,1,サービス,消費
2026/8/4,9843,ニトリホールディングス,2.5,小売業,消費
2026/8/4,9983,ファーストリテイリング,2.4,小売業,消費
2026/8/4,9984,ソフトバンクグループ,24,通信,技術
